date,price,type
4/1/23,1656,Studio
3/1/23,1683,Studio
2/1/23,1729,Studio
1/1/23,1775,Studio
12/1/22,1562,Studio
11/1/22,1481,Studio
10/1/22,1504,Studio
9/1/22,1554,Studio
8/1/22,1212,Studio
7/1/22,1230,Studio
6/1/22,1052,Studio
5/1/22,1364,Studio
4/1/22,1403,Studio
3/1/22,1461,Studio
2/1/22,1461,Studio
1/1/22,1325,Studio
12/1/21,1414,Studio
11/1/21,1425,Studio
10/1/21,1466,Studio
9/1/21,1449,Studio
8/1/21,1413,Studio
7/1/21,1210,Studio
6/1/21,1231,Studio
5/1/21,1255,Studio
4/1/21,1196,Studio
3/1/21,1024,Studio
2/1/21,996,Studio
1/1/21,1072,Studio
12/1/20,1076,Studio
11/1/20,1102,Studio
10/1/20,1107,Studio
9/1/20,1366,Studio
8/1/20,1290,Studio
7/1/20,1253,Studio
6/1/20,1313,Studio
5/1/20,1393,Studio
4/1/20,1327,Studio
3/1/20,1177,Studio
2/1/20,1003,Studio
1/1/20,1168,Studio
12/1/19,1084,Studio
11/1/19,995,Studio
10/1/19,1006,Studio
9/1/19,1172,Studio
8/1/19,1337,Studio
7/1/19,1359,Studio
6/1/19,1219,Studio
5/1/19,1131,Studio
4/1/19,935,Studio
3/1/19,920,Studio
2/1/19,1106,Studio
1/1/19,1285,Studio
12/1/18,972,Studio
11/1/18,972,Studio
10/1/18,953,Studio
9/1/18,980,Studio
8/1/18,725,Studio
7/1/18,706,Studio
6/1/18,734,Studio
5/1/18,725,Studio
4/1/18,690,Studio
3/1/18,803,Studio
2/1/18,822,Studio
1/1/18,900,Studio
12/1/17,895,Studio
11/1/17,832,Studio
10/1/17,889,Studio
9/1/17,895,Studio
7/1/17,1000,Studio
6/1/17,885,Studio
5/1/17,831,Studio
4/1/17,715,Studio
3/1/17,850,Studio
12/1/16,675,Studio
11/1/16,755,Studio
10/1/16,799,Studio
9/1/16,760,Studio
8/1/16,759,Studio
7/1/16,913,Studio
6/1/16,917,Studio
5/1/16,891,Studio
4/1/16,909,Studio
3/1/16,889,Studio
2/1/16,880,Studio
1/1/16,885,Studio
12/1/15,875,Studio
11/1/15,875,Studio
10/1/15,875,Studio
9/1/15,620,Studio
8/1/15,772,Studio
7/1/15,686,Studio
6/1/15,640,Studio
5/1/15,661,Studio
4/1/15,663,Studio
